time,ndvi
2009/5/31,3542
2009/6/30,3542
2009/7/31,3879.75
2009/8/31,4217.5
2009/9/30,3921
2009/10/31,4456
2009/11/30,4291
2009/12/31,4322.833333
2010/1/31,4354.666667
2010/2/28,4386.5
2010/3/31,4418.333333
2010/4/30,4450.166667
2010/5/31,4482
2010/6/30,3858.833333
2010/7/31,3235.666667
2010/8/31,2612.5
2010/9/30,1989.333333
2010/10/31,1366.166667
2010/11/30,743
2010/12/31,200
2011/1/31,709.6428571
2011/2/28,1219.285714
2011/3/31,1728.928571
2011/4/30,2238.571429
2011/5/31,2748.214286
2011/6/30,3257.857143
2011/7/31,3767.5
2011/8/31,3369.25
2011/9/30,2971
2011/10/31,3134.4
2011/11/30,3297.8
2011/12/31,3461.2
2012/1/31,3624.6
2012/2/29,3788
2012/3/31,4341
2012/4/30,4894
2012/5/31,5447
2012/6/30,3787
2012/7/31,3614
2012/8/31,3366
2012/9/30,2778
2012/10/31,2190
2012/11/30,2229.571429
2012/12/31,2269.142857
2013/1/31,2308.714286
2013/2/28,2348.285714
2013/3/31,2387.857143
2013/4/30,2427.428571
2013/5/31,2467
2013/6/30,2424.875
2013/7/31,2382.75
2013/8/31,2340.625
2013/9/30,2298.5
2013/10/31,2520
2013/11/30,3042.333333
2013/12/31,3564.666667
2014/1/31,4087
2014/2/28,3917.6
2014/3/31,3748.2
2014/4/30,3578.8
2014/5/31,3409.4
2014/6/30,3240
2014/7/31,2945
2014/8/31,2887
2014/9/30,2829
2014/10/31,3913
2014/11/30,4833.5
2014/12/31,3561
2015/1/31,3852.5
2015/2/28,4144
2015/3/31,3660
2015/4/30,3428.5
2015/5/31,3197
2015/6/30,3735.5
2015/7/31,4069
2015/8/31,3859.5
2015/9/30,2695
2015/10/31,3413
2015/11/30,4405
2015/12/31,4199
2016/1/31,3912
2016/2/29,3938.625
2016/3/31,3965.25
2016/4/30,3991.875
2016/5/31,4018.5
2016/6/30,4088
2016/7/31,3953.666667
2016/8/31,3439
2016/9/30,3621
