latitude,longitude,modis_ndvi_2000,modis_ndvi_2001,modis_ndvi_2002,modis_ndvi_2003,modis_ndvi_2004,modis_ndvi_2005,modis_ndvi_2006,modis_ndvi_2007,modis_ndvi_2008,modis_ndvi_2009,modis_ndvi_2010,modis_ndvi_2011,modis_ndvi_2012,modis_ndvi_2013,modis_ndvi_2014,modis_ndvi_2015,average_modis_ndvi,modis_ndvi_trend,modis_ndvi_trend_p-value,ccan_ndvi_2000,ccan_ndvi_2001,ccan_ndvi_2002,ccan_ndvi_2003,ccan_ndvi_2004,ccan_ndvi_2005,ccan_ndvi_2006,ccan_ndvi_2007,ccan_ndvi_2008,ccan_ndvi_2009,ccan_ndvi_2010,ccan_ndvi_2011,ccan_ndvi_2012,ccan_ndvi_2013,ccan_ndvi_2014,ccan_ndvi_2015,average_ccan_ndvi,ccan_ndvi_trend,ccan_ndvi_trend_p-value
69.725,-162.03,0.46954,0.53068,0.50038,0.56884,0.61892,0.59269,0.56491,0.60457,0.56688,0.52759,0.54842,0.58754,0.58303,0.62781,0.57195,0.56847,0.56451,0.0040237,0.16281,0.53706,0.52607,0.575,0.58573,0.61218,0.61239,0.59296,0.60879,0.60497,0.61589,0.58407,0.61582,0.60976,0.59336,0.59719,0.62344,0.59342,0.0032106,0.021667
69.726,-162,0.50788,0.53634,0.53172,0.57195,0.63949,0.60565,0.55847,0.6129,0.59808,0.55482,0.57405,0.5945,0.59308,0.6445,0.60683,0.59197,0.58264,0.0051869,0.064903,0.52473,0.50199,0.56546,0.56772,0.60362,0.60768,0.58684,0.60174,0.60557,0.61154,0.59039,0.60681,0.60232,0.58997,0.5862,0.6163,0.58556,0.0034797,0.03434
69.728,-161.98,0.54552,0.54495,0.53434,0.59422,0.6497,0.61935,0.5806,0.62696,0.6072,0.56382,0.58538,0.60826,0.59868,0.64806,0.61127,0.61194,0.59564,0.004099,0.064903,0.52758,0.49604,0.55154,0.54744,0.58731,0.59756,0.57744,0.59279,0.59696,0.60056,0.58565,0.59513,0.59378,0.59134,0.57743,0.60759,0.57663,0.0037515,1.21e-08
69.729,-161.95,0.48843,0.52718,0.52921,0.58282,0.65165,0.61317,0.57391,0.61201,0.59823,0.57598,0.58079,0.59806,0.59071,0.65172,0.58326,0.60457,0.58511,0.0047921,0.064903,0.49915,0.47986,0.53386,0.55089,0.59191,0.59098,0.56669,0.5896,0.59192,0.58847,0.57334,0.58893,0.58506,0.56666,0.5637,0.59371,0.56592,0.0029917,0.16281
69.73,-161.92,0.52935,0.51286,0.51875,0.5744,0.62902,0.60697,0.56467,0.62052,0.59749,0.55047,0.56795,0.59502,0.59527,0.64073,0.59319,0.58712,0.58024,0.0045456,0.16281,0.54827,0.52439,0.57972,0.59667,0.61235,0.62498,0.60806,0.61619,0.62233,0.63907,0.6121,0.61552,0.6139,0.60889,0.59855,0.62848,0.60309,0.0029464,0.052872
69.732,-161.9,0.55092,0.55358,0.5425,0.61427,0.65831,0.62226,0.59313,0.63016,0.61702,0.57421,0.60215,0.63208,0.60331,0.63828,0.62342,0.61661,0.60451,0.0034446,0.079109,0.51922,0.49517,0.54064,0.53616,0.58685,0.58522,0.56158,0.58994,0.58458,0.58556,0.57451,0.58254,0.56242,0.55331,0.55992,0.5898,0.56296,0.0022672,0.22413
69.733,-161.87,0.42744,0.46952,0.53572,0.59315,0.61533,0.63458,0.59877,0.60584,0.6173,0.63965,0.59503,0.62315,0.61538,0.54915,0.56772,0.61833,0.58163,0.0040386,0.079109,0.50145,0.47873,0.53592,0.53781,0.58763,0.58467,0.55826,0.58654,0.58291,0.5821,0.57385,0.58065,0.56441,0.54663,0.55711,0.59261,0.55946,0.002903,0.26035
69.734,-161.85,-9999,-9999,-9999,0.10558,0.027483,-9999,0.046313,-9999,-9999,0.000262,0.092407,-9999,-9999,0.034994,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.57425,0.60903,-9999,0.58446,-9999,-9999,0.61013,0.5936,-9999,-9999,0.59855,-9999,-9999,-9999,-9999,-9999
69.736,-161.82,-9999,0.03709,0.30806,0.40094,0.27593,0.58642,0.41329,0.1067,0.31871,0.51912,0.1512,0.46554,0.48756,0.34269,0.42194,0.38022,-9999,-9999,-9999,-9999,0.42638,0.49374,0.4972,0.55596,0.5536,0.52271,0.55191,0.55319,0.54829,0.53286,0.56333,0.55274,0.52103,0.52678,0.55342,-9999,-9999,-9999
69.737,-161.8,0.54321,0.5865,0.57862,0.62749,0.68619,0.6723,0.63041,0.66031,0.64497,0.62004,0.6418,0.64567,0.64496,0.65878,0.63262,0.63397,0.63174,0.0026398,0.22413,0.47715,0.45332,0.52419,0.53411,0.57266,0.57303,0.54999,0.57138,0.56084,0.56827,0.54887,0.57543,0.55343,0.53927,0.54143,0.57308,0.54478,0.0024239,0.11507
69.738,-161.77,0.334,0.34314,0.53933,0.54541,0.55546,0.49286,0.47558,0.59939,0.55227,0.55404,0.51235,0.56904,0.53549,0.54857,0.62728,0.54333,0.52047,0.0073857,0.052872,0.43663,0.42275,0.49094,0.50271,0.55728,0.56021,0.52287,0.5601,0.54733,0.5431,0.53196,0.55766,0.54761,0.53137,0.52918,0.56132,0.52519,0.0042254,0.064903
69.739,-161.75,0.53964,0.56766,0.56873,0.617,0.68261,0.66343,0.62248,0.65054,0.62985,0.60892,0.61403,0.62793,0.65009,0.65532,0.61827,0.62387,0.62127,0.0038621,0.16281,0.47861,0.4553,0.52538,0.55529,0.58698,0.58092,0.5601,0.5829,0.57976,0.5771,0.56851,0.57836,0.56811,0.56364,0.55748,0.58591,0.55652,0.001889,0.26035
69.736,-161.64,0.57829,0.59245,0.55016,0.62317,0.68898,0.65418,0.63094,0.65975,0.62579,0.61017,0.60976,0.61357,0.62878,0.65089,0.63162,0.62759,0.62351,0.0023626,0.26035,0.52817,0.51734,0.57485,0.56267,0.60054,0.5981,0.57983,0.59353,0.608,0.61053,0.58258,0.60404,0.59878,0.59279,0.5873,0.62308,0.58513,0.0032701,0.017024
69.734,-161.67,0.57629,0.60149,0.57583,0.62545,0.70564,0.66332,0.6348,0.665,0.63995,0.63112,0.6182,0.63804,0.63891,0.66546,0.63722,0.62973,0.63415,0.0017158,0.26035,0.53312,0.50366,0.5603,0.55726,0.60591,0.60325,0.58366,0.59792,0.60185,0.6175,0.59014,0.61022,0.60528,0.60114,0.59225,0.62145,0.58656,0.0042114,0.013277
69.733,-161.69,0.55201,0.5941,0.56956,0.62572,0.68612,0.66447,0.6335,0.67011,0.64129,0.63475,0.62645,0.63808,0.63978,0.69045,0.64358,0.62624,0.63351,0.0024442,0.095747,0.52557,0.49304,0.55679,0.56535,0.60897,0.6045,0.58505,0.59742,0.60926,0.60817,0.58549,0.60173,0.59721,0.59464,0.58366,0.61042,0.58295,0.0033891,0.079109
69.732,-161.72,0.51911,0.5763,0.56725,0.6244,0.6865,0.64096,0.62374,0.6516,0.63462,0.62414,0.61946,0.62386,0.65071,0.66665,0.63006,0.62556,0.62281,0.0033647,2.82e-08,0.49895,0.46407,0.54007,0.55676,0.59235,0.59178,0.56939,0.58569,0.59206,0.58523,0.57067,0.58783,0.58048,0.56479,0.56471,0.59965,0.56528,0.0027949,0.16281
69.731,-161.74,0.54321,0.5865,0.57862,0.62749,0.68619,0.6723,0.63041,0.66031,0.64497,0.62004,0.6418,0.64567,0.64496,0.65878,0.63262,0.63397,0.63174,0.0026398,0.22413,0.47715,0.45332,0.52417,0.5341,0.57264,0.57303,0.54999,0.57137,0.56084,0.56826,0.54886,0.57543,0.55343,0.53927,0.54143,0.57307,0.54477,0.0024237,0.11507
69.729,-161.77,-9999,0.03709,0.30806,0.40094,0.27593,0.58642,0.41329,0.1067,0.31871,0.51912,0.1512,0.46554,0.48756,0.34269,0.42194,0.38022,-9999,-9999,-9999,-9999,0.42638,0.49372,0.49718,0.55592,0.5536,0.52271,0.5519,0.55319,0.54829,0.53285,0.56333,0.55274,0.52103,0.52678,0.55341,-9999,-9999,-9999
69.728,-161.79,0.5376,0.58405,0.57575,0.63757,0.68914,0.6799,0.63154,0.6683,0.64606,0.6221,0.6333,0.64499,0.65146,0.69664,0.64434,0.63393,0.63604,0.0040057,0.16281,0.4607,0.45497,0.51017,0.50463,0.56719,0.56443,0.53779,0.56127,0.55561,0.55916,0.54602,0.57221,0.56188,0.53564,0.54035,0.57105,0.53769,0.0042477,0.064903
69.727,-161.82,0.351,0.32415,0.42186,0.50902,0.55063,0.5952,0.58313,0.5486,0.44388,0.5589,0.5384,0.60686,0.51016,0.60343,0.56901,0.54214,0.51602,0.0096687,0.042763,0.44654,0.41987,0.49676,0.50061,0.56131,0.55718,0.52425,0.55257,0.55245,0.5575,0.5361,0.57166,0.55073,0.53122,0.53448,0.56113,0.5284,0.0048456,0.064903
69.725,-161.84,-9999,-9999,0.12023,0.22882,0.047118,0.23505,0.062203,0.24446,0.16085,0.22181,0.19712,0.16429,-9999,0.20161,0.45868,0.066108,-9999,-9999,-9999,-9999,-9999,0.57014,0.5843,0.62468,0.61375,0.6042,0.60762,0.613,0.61998,0.60301,0.60616,-9999,0.60242,0.59095,0.62561,-9999,-9999,-9999
69.724,-161.87,0.44103,0.54349,0.49637,0.57229,0.64523,0.56593,0.54731,0.5892,0.63119,0.59084,0.46257,0.59979,0.58246,0.60752,0.5681,0.59759,0.56506,0.0040192,0.079109,0.50791,0.46804,0.53074,0.52865,0.58084,0.58372,0.56011,0.58204,0.58011,0.57643,0.56171,0.58219,0.57067,0.5591,0.55963,0.58891,0.55755,0.0029621,0.11507
69.723,-161.9,0.53046,0.57049,0.53636,0.60134,0.67087,0.6297,0.5981,0.63298,0.6286,0.57601,0.61228,0.61806,0.61108,0.64718,0.61002,0.6288,0.6064,0.0036175,0.11507,0.54476,0.52639,0.58086,0.59681,0.61796,0.62617,0.61143,0.61971,0.62187,0.63514,0.61549,0.61525,0.62259,0.61916,0.60608,0.64129,0.60631,0.0034587,0.017024
69.722,-161.92,0.53044,0.54793,0.53559,0.56765,0.63257,0.60923,0.58004,0.63943,0.60419,0.56229,0.60162,0.62392,0.58795,0.65034,0.59713,0.58042,0.59067,0.0037992,0.0032034,0.50286,0.48051,0.54076,0.5617,0.59045,0.59749,0.57247,0.59334,0.59319,0.59581,0.58689,0.59855,0.58959,0.57445,0.56804,0.59956,0.5716,0.0030364,0.03434
69.72,-161.95,0.49835,0.52737,0.52492,0.54893,0.65045,0.59088,0.56816,0.61375,0.5896,0.56086,0.58804,0.59348,0.59973,0.63503,0.58753,0.58371,0.5788,0.0053902,0.064903,0.50539,0.5001,0.55109,0.55085,0.5932,0.60258,0.58278,0.59582,0.60048,0.60956,0.5885,0.5973,0.59716,0.58952,0.57804,0.61002,0.57827,0.0042961,0.027377
69.719,-161.97,0.46224,0.54909,0.51657,0.54835,0.63471,0.58588,0.54224,0.61091,0.5903,0.55338,0.55941,0.5754,0.55893,0.617,0.58176,0.57611,0.56639,0.0037384,0.079109,0.50768,0.50327,0.55263,0.55702,0.59882,0.60056,0.58515,0.59798,0.60306,0.60296,0.58287,0.60091,0.60087,0.58663,0.5815,0.60968,0.57947,0.003026,0.021667
69.718,-162,0.53167,0.54121,0.52745,0.59821,0.64155,0.62123,0.56023,0.62134,0.62574,0.5532,0.58135,0.595,0.58342,0.6474,0.58945,0.58403,0.58766,0.003666,0.19167,0.53767,0.51375,0.57095,0.56857,0.60382,0.61092,0.5907,0.6036,0.61227,0.61906,0.58308,0.62052,0.61173,0.59436,0.59145,0.61973,0.59076,0.0037574,6.08e-10
69.716,-162.02,0.50936,0.54411,0.52779,0.56441,0.63311,0.59663,0.56306,0.60957,0.58543,0.55779,0.56875,0.61118,0.56541,0.65527,0.59555,0.57377,0.57883,0.0038729,0.052872,0.54717,0.51978,0.57757,0.58153,0.60937,0.61407,0.59405,0.6074,0.60803,0.61973,0.58557,0.61173,0.60964,0.59599,0.5944,0.62017,0.59351,0.003165,0.017024
69.715,-162.05,0.49693,0.5252,0.53374,0.57697,0.62085,0.59586,0.58805,0.60396,0.58072,0.53434,0.55449,0.58861,0.58289,0.62361,0.58567,0.56998,0.57262,0.0032266,0.0082639,0.53376,0.5209,0.57537,0.58338,0.61919,0.61998,0.59587,0.60808,0.6096,0.61452,0.58542,0.60754,0.60819,0.60104,0.59119,0.62343,0.59359,0.0028875,0.079109
69.714,-162.07,0.50752,0.54712,0.50466,0.56005,0.61437,0.60186,0.58566,0.60091,0.56377,0.53562,0.54813,0.58774,0.5915,0.62221,0.56813,0.56416,0.56896,0.0033332,0.19167,0.54092,0.52026,0.5829,0.59146,0.61513,0.61894,0.59537,0.60756,0.60944,0.61671,0.58975,0.60703,0.60929,0.60958,0.59506,0.62165,0.59569,0.0023793,0.03434
69.712,-162.1,0.49289,0.56012,0.53136,0.56956,0.62801,0.59171,0.57813,0.60852,0.5784,0.53731,0.56056,0.61295,0.58128,0.64129,0.59329,0.5888,0.57839,0.0036256,0.03434,0.52089,0.50677,0.55532,0.55892,0.6122,0.61501,0.58244,0.59982,0.59811,0.60685,0.58156,0.60104,0.59636,0.59342,0.58461,0.61668,0.58313,0.0036586,0.079109
69.711,-162.13,0.51502,0.55088,0.5156,0.56942,0.63675,0.59571,0.5753,0.63612,0.57423,0.55366,0.56292,0.58964,0.56406,0.63742,0.59535,0.57571,0.57799,0.0031022,0.0044127,0.53152,0.5141,0.57117,0.57195,0.6146,0.61607,0.5883,0.60187,0.60338,0.61023,0.59166,0.60755,0.61028,0.60214,0.58897,0.62097,0.5903,0.0035283,0.021667
69.71,-162.15,0.50392,0.54363,0.51849,0.5608,0.62097,0.60119,0.57657,0.60294,0.58148,0.54562,0.56513,0.58854,0.59448,0.63765,0.60387,0.59541,0.57754,0.0046281,0.013277,0.52735,0.50869,0.5645,0.55976,0.59991,0.60766,0.58344,0.60117,0.60014,0.60161,0.58818,0.6023,0.60104,0.59782,0.58828,0.60958,0.58384,0.0029941,0.017024
69.708,-162.18,0.51387,0.52669,0.50441,0.55861,0.61286,0.56593,0.58199,0.60254,0.57949,0.53699,0.57195,0.60123,0.57961,0.61915,0.59308,0.59119,0.57122,0.0049198,0.017024,0.51084,0.49704,0.55543,0.55797,0.60182,0.60346,0.5762,0.59051,0.59995,0.60432,0.58146,0.59622,0.59897,0.58412,0.58284,0.60802,0.57807,0.0034461,0.027377
