index,value
1991 2???,0.248165311
1991 3???,0.264596473
1991 4???,0.307025335
1991 5???,0.309908485
1991 6???,0.361880824
1991 7???,0.330183926
1991 8???,0.357008002
1991 9???,0.317572029
1991 10???,0.274789075
1991 11???,0.279465677
1991 12???,0.253964505
1992 1???,0.245165165
1992 2???,0.270760998
1992 3???,0.281591469
1992 4???,0.312247423
1992 5???,0.301401407
1992 6???,0.325265009
1992 7???,0.323782137
1992 8???,0.284782137
1992 9???,0.322736061
1992 10???,0.314753217
1992 11???,0.282674735
1992 12???,0.233294186
1993 1???,0.245161705
1993 2???,0.235729786
1993 3???,0.301356682
1993 4???,0.298237858
1993 5???,0.310336563
1993 6???,0.356820668
1993 7???,0.34421315
1993 8???,0.317347404
1993 9???,0.324977611
1993 10???,0.30300672
1993 11???,0.282446331
1993 12???,0.269726691
1994 1???,0.245050323
1994 2???,0.271542422
1994 3???,0.257914051
1994 4???,0.321902449
1994 5???,0.312595678
1994 6???,0.345938209
1994 7???,0.354603787
1994 8???,0.333473967
1994 9???,0.29550889
1994 10???,0.293282938
1994 11???,0.266543175
1994 12???,0.252920252
1995 1???,0.249811485
1995 2???,0.253060252
1995 3???,0.262133235
1995 4???,0.269087456
1995 5???,0.345723925
1995 6???,0.29293259
1995 7???,0.299119308
1995 8???,0.324641066
1995 9???,0.346845824
1995 10???,0.274221225
1995 11???,0.236262138
1995 12???,0.232988986
1996 1???,0.299251403
1996 2???,0.25096809
1996 3???,0.271639023
1996 4???,0.297931669
1996 5???,0.336959741
1996 6???,0.352026632
1996 7???,0.339566829
1996 8???,0.309304464
1996 9???,0.354706629
1996 10???,0.280832488
1996 11???,0.270439055
1996 12???,0.265196228
1997 1???,0.211822164
1997 2???,0.190891353
1997 3???,0.232265163
1997 4???,0.264052999
1997 5???,0.279760707
1997 6???,0.302567723
1997 7???,0.279792079
1997 8???,0.285908527
1997 9???,0.289154084
1997 10???,0.256923606
1997 11???,0.232171166
1997 12???,0.226339372
1998 1???,0.2334736
1998 2???,0.256888941
1998 3???,0.249685454
1998 4???,0.281164786
1998 5???,0.31040588
1998 6???,0.333520176
1998 7???,0.286731804
1998 8???,0.342412487
1998 9???,0.314017205
1998 10???,0.306362989
1998 11???,0.279550075
1998 12???,0.255363658
1999 1???,0.223244091
1999 2???,0.236910418
1999 3???,0.241546437
1999 4???,0.27556517
1999 5???,0.293400126
1999 6???,0.317579116
1999 7???,0.298659965
1999 8???,0.297064523
1999 9???,0.29331633
1999 10???,0.245863118
1999 11???,0.234869336
1999 12???,0.229179351
2000 1???,0.276677185
2000 2???,0.266580162
2000 3???,0.248136919
2000 4???,0.261825908
2000 5???,0.297897591
2000 6???,0.313828544
2000 7???,0.326123195
2000 8???,0.33674296
2000 9???,0.330594596
2000 10???,0.293106584
2000 11???,0.274325571
2000 12???,0.220647198
2001 1???,0.226906408
2001 2???,0.23830579
2001 3???,0.22756779
2001 4???,0.255054489
2001 5???,0.282059676
2001 6???,0.294301624
2001 7???,0.312620216
2001 8???,0.291615486
2001 9???,0.277593221
2001 10???,0.250202663
2001 11???,0.251898328
2001 12???,0.20248996
2002 1???,0.257436639
2002 2???,0.252913792
2002 3???,0.26406267
2002 4???,0.290844018
2002 5???,0.350392046
2002 6???,0.334038301
2002 7???,0.353845849
2002 8???,0.336875542
2002 9???,0.306992217
2002 10???,0.263421224
2002 11???,0.283220971
2002 12???,0.251783596
2003 1???,0.227849161
2003 2???,0.233424413
2003 3???,0.239136074
2003 4???,0.2599742
2003 5???,0.27618987
2003 6???,0.26476753
2003 7???,0.283882043
2003 8???,0.332163232
2003 9???,0.248200674
2003 10???,0.270357657
2003 11???,0.250380266
